                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20210127"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                          log_Lnuc_ergs_s                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                        luminosity_ergs_s                                    log_L                             log_L_ergs_s                                   radius                                    log_R                                    log_g                                 log_Ledd                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       2                                      993                  2.2000000000000010E-005                 -4.9208187539523740E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9653369483012762E+002                  9.8841655923640959E-001                  7.8128487679404323E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8841655923640959E-001                  7.8128487679404323E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4874330523391759E+000                 -1.6095330398792200E+001                 -9.8999999999999986E+001                  8.4874330523391759E+000                  4.2071967804546986E+001                  8.4874330523391759E+000                 -1.9470836923470095E+001                 -1.6095330398792200E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2668043340674934E+035                  4.8786584426961367E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8567917147295665E+000                  2.3328240018863341E+040                  6.7833472228084837E+000                  4.0367881975016289E+001                  1.5898238886648814E+001                  1.2013490183977344E+000                  4.5123125713373184E+000                  6.9457264588211416E+000                  2.6847107231652827E-005                  1.6848111166089534E+001                  4.3250584865632308E-001                  7.8141735797070080E+000                  5.8823308457549306E-001                  8.8000425635959956E-001                  1.2195090285013641E+000                  7.6000000212282370E-001                  2.3997446608805120E-001                  4.5783066676455825E-032                  1.1389278028475264E-043                  1.0094737566539001E-099                  1.0094736852012935E-099                  2.2800000004142376E+002                  7.1992337883225034E+001                                        0                                        0                                        2 
                                       3                                      993                  3.6400000000000017E-005                 -4.8416375079047498E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9653370613024475E+002                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4873609958149139E+000                 -1.6095332289771996E+001                 -9.8999999999999986E+001                  8.4873609958149139E+000                  4.2071895748022726E+001                  8.4873609958149139E+000                 -1.9254507383033800E+001                 -1.6095332289771996E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2668040630595443E+035                  4.8786581649711739E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8567916911403515E+000                  2.3328239667869186E+040                  6.7833472162741364E+000                  4.0367881968481946E+001                  1.5898240494110349E+001                  1.2013490623089904E+000                  4.5123124835148065E+000                  6.9457264471272868E+000                  2.6843464680716852E-005                  1.6848110982927178E+001                  4.3250571092698886E-001                  7.8141735339521761E+000                  5.8823308448874301E-001                  8.8000425607621580E-001                  1.2195090277070597E+000                  7.6000000347439312E-001                  2.3997447049149162E-001                  7.3321059553026911E-032                  3.6092212266358359E-043                  1.0094737566539001E-099                  1.0094736852012935E-099                  2.2800000006852960E+002                  7.1992337969794661E+001                                        0                                        0                                        2 
                                       4                                      993                  5.3680000000000021E-005                 -4.7624562618571247E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9653371803823842E+002                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4872749810850330E+000                 -1.6095334558624039E+001                 -9.8999999999999986E+001                  8.4872749810850330E+000                  4.2071809733292838E+001                  8.4872749810850330E+000                 -1.9088566456735741E+001                 -1.6095334558624039E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2668037378551068E+035                  4.8786578317576781E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8567916628383587E+000                  2.3328239246822345E+040                  6.7833472084356394E+000                  4.0367881960643444E+001                  1.5898242422743390E+001                  1.2013491149937285E+000                  4.5123123781453298E+000                  6.9457264330975708E+000                  2.6839001931374662E-005                  1.6848110763191261E+001                  4.3250554572500610E-001                  7.8141734790578070E+000                  5.8823308438676136E-001                  8.8000425574357655E-001                  1.2195090267740361E+000                  7.6000000506176957E-001                  2.3997447566208024E-001                  1.0433582023149381E-031                  9.1626462917340659E-043                  1.0094737566539001E-099                  1.0094736852012935E-099                  2.2800000010104887E+002                  7.1992338073657706E+001                                        0                                        0                                        2 
                                       5                                      993                  7.4416000000000041E-005                 -4.6832750158094996E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9653373198826176E+002                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4871724033995157E+000                 -1.6095337280772952E+001                 -9.8999999999999986E+001                  8.4871724033995157E+000                  4.2071707155607328E+001                  8.4871724033995157E+000                 -1.8949970255230919E+001                 -1.6095337280772952E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2668033476152306E+035                  4.8786574319822135E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8567916288831494E+000                  2.3328238741759792E+040                  6.7833471990330496E+000                  4.0367881951240854E+001                  1.5898244736643511E+001                  1.2013491782028529E+000                  4.5123122517270815E+000                  6.9457264162659866E+000                  2.6833674595161367E-005                  1.6848110499591623E+001                  4.3250534758351850E-001                  7.8141734132010345E+000                  5.8823308426716403E-001                  8.8000425535409987E-001                  1.2195090256807704E+000                  7.6000000692147762E-001                  2.3997448171835564E-001                  1.3907270588334944E-031                  2.0366703715800864E-042                  1.0094737566539001E-099                  1.0094736852012935E-099                  2.2800000014006031E+002                  7.1992338198263852E+001                                        0                                        0                                        2 
                                       6                                      993                  9.9299200000000054E-005                 -4.6040937697618753E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9653374820240657E+002                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4870502111603123E+000                 -1.6095340546667043E+001                 -9.8999999999999986E+001                  8.4870502111603123E+000                  4.2071584963368124E+001                  8.4870502111603123E+000                 -1.8828509654273066E+001                 -1.6095340546667043E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2668028793310186E+035                  4.8786569523666204E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8567915881470682E+000                  2.3328238135941362E+040                  6.7833471877547176E+000                  4.0367881939962523E+001                  1.5898247512666899E+001                  1.2013492540358492E+000                  4.5123121000610888E+000                  6.9457263960737246E+000                  2.6827329829751787E-005                  1.6848110183389789E+001                  4.3250510995232644E-001                  7.8141733341965987E+000                  5.8823308412729802E-001                  8.8000425489938594E-001                  1.2195090244033688E+000                  7.6000000909405019E-001                  2.3997448879178415E-001                  1.7773756593204087E-031                  4.1390066438860918E-042                  1.0094737566539001E-099                  1.0094736852012935E-099                  2.2800000018685756E+002                  7.1992338347749111E+001                                        0                                        0                                        2 
                                       7                                      993                  1.2915904000000006E-004                 -4.5249125237142502E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9653376692129842E+002                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4869048440918871E+000                 -1.6095344464748816E+001                 -9.8999999999999986E+001                  8.4869048440918871E+000                  4.2071439596299697E+001                  8.4869048440918871E+000                 -1.8718791738724569E+001                 -1.6095344464748816E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2668023173878871E+035                  4.8786563769907529E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8567915392781398E+000                  2.3328237409307421E+040                  6.7833471742272016E+000                  4.0367881926435011E+001                  1.5898250842962202E+001                  1.2013493450099468E+000                  4.5123119181128937E+000                  6.9457263718509230E+000                  2.6819820571102720E-005                  1.6848109804113587E+001                  4.3250482498428466E-001                  7.8141732394253953E+000                  5.8823308396423768E-001                  8.8000425437020868E-001                  1.2195090229155339E+000                  7.6000001162407815E-001                  2.3997449702690493E-001                  2.2048908254371409E-031                  7.8809029011249158E-042                  1.0094737566539001E-099                  1.0094736852012935E-099                  2.2800000024299058E+002                  7.1992338527071254E+001                                        0                                        0                                        2 
                                       8                                      993                  1.6499084800000009E-004                 -4.4457312776666251E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9653378839229231E+002                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4867321682010886E+000                 -1.6095349164995451E+001                 -7.2247198959355483E+000                  8.4867321682010886E+000                  4.2071266920408895E+001                  8.4867321682010886E+000                 -1.8617648154751322E+001                 -1.6095349164995451E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2668016430431029E+035                  4.8786556867726591E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8567914806559340E+000                  2.3328236537824467E+040                  6.7833471580030764E+000                  4.0367881910210883E+001                  1.5898254837978813E+001                  1.2013494541422953E+000                  4.5123116998481967E+000                  6.9457263427947256E+000                  2.6810845789444418E-005                  1.6848109349217303E+001                  4.3250448328129421E-001                  7.8141731257494076E+000                  5.8823308377478678E-001                  8.8000425375652802E-001                  1.2195090211885977E+000                  7.6000001456015442E-001                  2.3997450658113931E-001                  2.6743321281739867E-031                  1.4274944900014445E-041                  1.0094737566539001E-099                  1.0094736852012935E-099                  2.2800000031031715E+002                  7.1992338742172137E+001                                        0                                        0                                        2 
                                       9                                      993                  2.0798901760000010E-004                 -4.3665500316190009E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9653381282612878E+002                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4865274093137586E+000                 -1.6095354803186535E+001                 -7.2247198959355483E+000                  8.4865274093137586E+000                  4.2071062161521567E+001                  8.4865274093137586E+000                 -1.8523083526593879E+001                 -1.6095354803186535E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2668008337896217E+035                  4.8786548588407589E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8567914103383769E+000                  2.3328235492701089E+040                  6.7833471385463415E+000                  4.0367881890754148E+001                  1.5898259630093952E+001                  1.2013495850490439E+000                  4.5123114380346996E+000                  6.9457263079430156E+000                  2.6800196717015582E-005                  1.6848108803672289E+001                  4.3250407358739196E-001                  7.8141729894093048E+000                  5.8823308355548887E-001                  8.8000425304752916E-001                  1.2195090191916200E+000                  7.6000001795470262E-001                  2.3997451762422961E-001                  3.1862075128245204E-031                  2.4848169591548277E-041                  1.0094737566539001E-099                  1.0094736852012935E-099                  2.2800000039106087E+002                  7.1992339000171356E+001                                        0                                        0                                        2 
                                      10                                      993                  2.5958682112000008E-004                 -4.2873687855713758E+000                  3.0000000000000000E+002                  3.5775799705279844E+001                 -9.8999999999999986E+001                  2.9653384042131108E+002                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8841655923640959E-001                  7.8128487235315113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4862850877113942E+000                 -1.6095361565955752E+001                 -9.8999999999999986E+001                  8.4862850877113942E+000                  4.2070819839919203E+001                  8.4862850877113942E+000                 -1.8433780795278604E+001                 -1.6095361565955752E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2667998625933785E+035                  4.8786538657902478E+035                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8567913259985644E+000                  2.3328234239455551E+040                  6.7833471152150597E+000                  4.0367881867422867E+001                  1.5898265377920875E+001                  1.2013497420630266E+000                  4.5123111240067342E+000                  6.9457262661430867E+000                  2.6787565394818972E-005                  1.6848108149482520E+001                  4.3250358242609482E-001                  7.8141728259032996E+000                  5.8823308330264956E-001                  8.8000425223168011E-001                  1.2195090168915728E+000                  7.6000002186367188E-001                  2.3997453033726321E-001                  3.7404843270266929E-031                  4.1862281138900734E-041                  1.0094737566539001E-099                  1.0094736852012935E-099                  2.2800000048788615E+002                  7.1992339309597440E+001                                        0                                        0                                        2 
